x,y,z,
36.20558,37.19003,-0.330796,
36.19844,37.19004,-0.746925,
36.19948,37.19004,0.935223,
36.19803,37.19005,-0.24616,
36.2063,37.19005,-3.082124,
36.19972,37.19006,0.440219,
36.1983,37.19007,0.949149,
36.1993,37.19007,-0.489529,
36.2006,37.19007,1.313396,
36.20262,37.19007,-1.499961,
36.19901,37.19009,-0.239643,
36.20043,37.1901,0.406791,
36.1989,37.19011,-0.907116,
36.20024,37.19011,-0.06188,
36.20006,37.19011,0.151453,
36.19919,37.19013,0.94132,
36.20081,37.19014,-0.221426,
36.2058,37.19014,-2.426611,
36.20539,37.19014,-0.50491,
36.19844,37.19016,-0.048361,
36.19872,37.19016,-0.566524,
36.19947,37.19016,1.239044,
36.1997,37.19016,0.480811,
36.2053,37.19016,-1.470327,
36.20283,37.19018,1.017055,
36.20372,37.19018,0.024889,
36.20354,37.19018,0.624772,
36.2045,37.19018,0.670751,
36.2052,37.19018,1.343713,
36.20423,37.19019,0.280937,
36.19833,37.1902,0.850686,
36.1986,37.1902,0.861751,
36.20403,37.1902,1.626479,
36.19802,37.19021,0.949181,
36.1993,37.19021,-0.587379,
36.20064,37.19022,-1.004848,
36.20303,37.19023,2.410458,
36.20469,37.19024,-0.368717,
36.20584,37.19024,-0.979591,
36.20027,37.19025,-0.531523,
36.20616,37.19025,-3.382192,
36.1989,37.19027,0.810254,
36.19948,37.19028,1.037353,
36.19959,37.19028,1.024864,
36.20085,37.19028,-0.182008,
36.20049,37.19028,0.835362,
36.19844,37.19032,2.10991,
36.20448,37.19033,2.044076,
36.20103,37.19034,1.264748,
36.204,37.19034,0.802031,
36.19802,37.19036,1.206433,
36.19814,37.19036,0.020729,
36.19872,37.19036,-1.596886,
36.19919,37.19037,-0.083452,
36.19953,37.19037,0.809831,
36.20268,37.19037,1.080132,
36.20558,37.19038,2.585484,
36.20349,37.19039,0.966848,
36.20367,37.1904,1.995956,
36.20032,37.19041,-0.340746,
36.20639,37.19041,-2.847998,
36.1986,37.19042,1.589709,
36.19813,37.19044,1.114288,
36.2031,37.19044,0.699319,
36.20466,37.19044,0.058059,
36.20523,37.19044,-0.629983,
36.19902,37.19045,0.794577,
36.20052,37.19045,1.193117,
36.20589,37.19046,-1.05634,
36.19802,37.19047,0.38778,
36.19832,37.19047,0.501129,
36.19929,37.19047,-0.483123,
36.19947,37.19047,0.531437,
36.20014,37.19047,-0.238944,
36.20404,37.19047,1.514016,
36.19844,37.19048,-0.269695,
36.20272,37.19049,1.363749,
36.20642,37.1905,-2.725267,
36.20094,37.19055,0.848231,
